"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","313","GET list list_regions.","tests_api","Wed Nov 12 01:53:30 UTC 2025","passed","Wed Nov 12 01:53:30 UTC 2025","TestGET","GET","",""
"","306","POST change_password_with_wrong_data","tests_api","Wed Nov 12 01:53:42 UTC 2025","passed","Wed Nov 12 01:53:42 UTC 2025","TestPOST","POST","",""
"","304","GET list list_dbtypes.","tests_api","Wed Nov 12 01:55:12 UTC 2025","passed","Wed Nov 12 01:55:12 UTC 2025","TestGET","GET","",""
"","374","POST change_password_without_token","tests_api","Wed Nov 12 01:53:42 UTC 2025","passed","Wed Nov 12 01:53:42 UTC 2025","TestPOST","POST","",""
"","304","POST registration email is taken for unsupported languages","tests_api","Wed Nov 12 01:53:33 UTC 2025","passed","Wed Nov 12 01:53:34 UTC 2025","TestPOST","POST","",""
"","303","POST create_docker_container_without_token","tests_api","Wed Nov 12 01:53:45 UTC 2025","passed","Wed Nov 12 01:53:46 UTC 2025","TestPOST","POST","",""
"","1001","POST login/is_logged/logout","tests_api","Wed Nov 12 01:53:35 UTC 2025","passed","Wed Nov 12 01:53:36 UTC 2025","TestPOST","POST","",""
"","308","test order db create backup with wrong uuid","tests_api","Wed Nov 12 01:53:50 UTC 2025","failed","Wed Nov 12 01:53:50 UTC 2025","TestBackup","Test Backup","",""
"","389","POST db_create_with_wrong_env.","tests_api","Wed Nov 12 01:53:54 UTC 2025","failed","Wed Nov 12 01:53:55 UTC 2025","TestPOST","smoke_databases","",""
"","0","Get token.","tests_api","Wed Nov 12 01:55:12 UTC 2025","passed","Wed Nov 12 01:55:12 UTC 2025","TestGET","GET","",""
"","305","POST checking ports_len negative len","tests_api","Wed Nov 12 01:53:45 UTC 2025","passed","Wed Nov 12 01:53:45 UTC 2025","TestPOST","POST","",""
"","302","POST db_create_with_wrong_env.","tests_api","Wed Nov 12 01:53:39 UTC 2025","failed","Wed Nov 12 01:53:40 UTC 2025","TestPOST","POST","",""
"","380","GET list list_dbenvs.","tests_api","Wed Nov 12 01:53:29 UTC 2025","passed","Wed Nov 12 01:53:30 UTC 2025","TestGET","GET","",""
"","8245","Creating a mysql8 database with DB hosts region CIS","tests_ui","Wed Nov 12 01:55:46 UTC 2025","broken","Wed Nov 12 01:55:54 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","620","POST is logout","tests_api","Wed Nov 12 01:53:35 UTC 2025","passed","Wed Nov 12 01:53:35 UTC 2025","TestPOST","POST","",""
"","308","POST db_create_with_wrong_region.","tests_api","Wed Nov 12 01:53:40 UTC 2025","failed","Wed Nov 12 01:53:40 UTC 2025","TestPOST","POST","",""
"","451","POST delete_db","tests_api","Wed Nov 12 01:53:47 UTC 2025","skipped","Wed Nov 12 01:53:47 UTC 2025","TestPOST","POST","",""
"","752","Complex","tests_api","Wed Nov 12 01:53:26 UTC 2025","failed","Wed Nov 12 01:53:27 UTC 2025","TestFull","Test Connection DB","",""
"","529","test_buttons_are_clickable","tests_ui","Wed Nov 12 01:55:38 UTC 2025","passed","Wed Nov 12 01:55:38 UTC 2025","TestLoginPage","Test Login Page.","",""
"","0","Getting an authorization token","tests_ui","Wed Nov 12 01:55:40 UTC 2025","passed","Wed Nov 12 01:55:40 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","626","POST db_create","tests_api","Wed Nov 12 01:53:53 UTC 2025","failed","Wed Nov 12 01:53:53 UTC 2025","TestPOST","smoke_databases","",""
"","1011","Checking the opening of the statistics page","tests_ui","Wed Nov 12 01:55:42 UTC 2025","passed","Wed Nov 12 01:55:43 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","303","POST checking ports_len negative range","tests_api","Wed Nov 12 01:53:44 UTC 2025","passed","Wed Nov 12 01:53:45 UTC 2025","TestPOST","POST","",""
"","306","POST db_create_with_wrong_db_version.","tests_api","Wed Nov 12 01:53:39 UTC 2025","failed","Wed Nov 12 01:53:39 UTC 2025","TestPOST","POST","",""
"","1154","Capacity_db","tests_api","Wed Nov 12 01:53:27 UTC 2025","broken","Wed Nov 12 01:53:28 UTC 2025","TestFull","Test Connection DB","",""
"","306","POST is_logged_with_wrong_token","tests_api","Wed Nov 12 01:53:34 UTC 2025","passed","Wed Nov 12 01:53:35 UTC 2025","TestPOST","POST","",""
"","2534","Checking the copy of the database UUID","tests_ui","Wed Nov 12 01:56:00 UTC 2025","passed","Wed Nov 12 01:56:02 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","304","POST registration email is taken for bg-bg","tests_api","Wed Nov 12 01:53:33 UTC 2025","passed","Wed Nov 12 01:53:33 UTC 2025","TestPOST","POST","",""
"","15680","POST db_list_with_filter","tests_api","Wed Nov 12 01:53:55 UTC 2025","passed","Wed Nov 12 01:54:11 UTC 2025","TestPOST","smoke_databases","",""
"","852","test_main_button","tests_ui","Wed Nov 12 01:55:36 UTC 2025","passed","Wed Nov 12 01:55:36 UTC 2025","TestMainPage","Test Main Page.","",""
"","299","POST checking ports_len negative symbols","tests_api","Wed Nov 12 01:53:45 UTC 2025","passed","Wed Nov 12 01:53:45 UTC 2025","TestPOST","POST","",""
"","0","POST get token and other params.","tests_api","Wed Nov 12 01:53:52 UTC 2025","passed","Wed Nov 12 01:53:52 UTC 2025","TestPOST","smoke_databases","",""
"","0","Get token.","tests_api","Wed Nov 12 01:53:26 UTC 2025","passed","Wed Nov 12 01:53:26 UTC 2025","TestFull","Test Connection DB","",""
"","653","POST create_docker_container_without_token","tests_api","Wed Nov 12 01:53:46 UTC 2025","passed","Wed Nov 12 01:53:46 UTC 2025","TestPOST","POST","",""
"","308","POST delete_container","tests_api","Wed Nov 12 01:53:46 UTC 2025","broken","Wed Nov 12 01:53:47 UTC 2025","TestPOST","POST","",""
"","313","test order db create backup with wrong token","tests_api","Wed Nov 12 01:53:49 UTC 2025","passed","Wed Nov 12 01:53:49 UTC 2025","TestBackup","Test Backup","",""
"","616","POST change_password","tests_api","Wed Nov 12 01:53:41 UTC 2025","passed","Wed Nov 12 01:53:42 UTC 2025","TestPOST","POST","",""
"","315","GET tos.","tests_api","Wed Nov 12 01:53:28 UTC 2025","passed","Wed Nov 12 01:53:29 UTC 2025","TestGET","GET","",""
"","378","GET list list_dbtypes.","tests_api","Wed Nov 12 01:53:29 UTC 2025","passed","Wed Nov 12 01:53:29 UTC 2025","TestGET","GET","",""
"","376","POST delete_all_created_db","tests_api","Wed Nov 12 01:53:48 UTC 2025","skipped","Wed Nov 12 01:53:48 UTC 2025","TestPOST","POST","",""
"","311","POST registration Bulgaria language.","tests_api","Wed Nov 12 01:53:32 UTC 2025","passed","Wed Nov 12 01:53:32 UTC 2025","TestPOST","POST","",""
"","313","GET list db_versions.","tests_api","Wed Nov 12 01:53:29 UTC 2025","passed","Wed Nov 12 01:53:29 UTC 2025","TestGET","GET","",""
"","308","POST create_docker_container","tests_api","Wed Nov 12 01:53:40 UTC 2025","passed","Wed Nov 12 01:53:41 UTC 2025","TestPOST","POST","",""
"","356","POST db_list","tests_api","Wed Nov 12 01:53:55 UTC 2025","passed","Wed Nov 12 01:53:55 UTC 2025","TestPOST","smoke_databases","",""
"","360","POST db_list_with_filter","tests_api","Wed Nov 12 01:53:41 UTC 2025","skipped","Wed Nov 12 01:53:41 UTC 2025","TestPOST","POST","",""
"","382","POST registration Bulgaria language not agree.","tests_api","Wed Nov 12 01:53:32 UTC 2025","passed","Wed Nov 12 01:53:33 UTC 2025","TestPOST","POST","",""
"","394","POST registration for English language not agree.","tests_api","Wed Nov 12 01:53:32 UTC 2025","passed","Wed Nov 12 01:53:32 UTC 2025","TestPOST","POST","",""
"","280","GET bad_request.","tests_api","Wed Nov 12 01:53:30 UTC 2025","passed","Wed Nov 12 01:53:30 UTC 2025","TestGET","GET","",""
"","393","POST db_create_with_wrong_db_type.","tests_api","Wed Nov 12 01:53:53 UTC 2025","failed","Wed Nov 12 01:53:54 UTC 2025","TestPOST","smoke_databases","",""
"","3670","Deleting a DB with results check in the Account Dashboard table","tests_ui","Wed Nov 12 01:55:55 UTC 2025","failed","Wed Nov 12 01:55:59 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","301","test order db create backup non-belonging db","tests_api","Wed Nov 12 01:53:51 UTC 2025","failed","Wed Nov 12 01:53:52 UTC 2025","TestBackup","Test Backup","",""
"","0","POST get token and other params.","tests_api","Wed Nov 12 01:53:31 UTC 2025","passed","Wed Nov 12 01:53:31 UTC 2025","TestPOST","POST","",""
"","60701","POST delete_db","tests_api","Wed Nov 12 01:54:11 UTC 2025","failed","Wed Nov 12 01:55:12 UTC 2025","TestPOST","smoke_databases","",""
"","283","POST check static webpages without toke.","tests_api","Wed Nov 12 01:53:52 UTC 2025","failed","Wed Nov 12 01:53:52 UTC 2025","TestStaticWebPages","Test Static webpages","",""
"","379","POST is logged","tests_api","Wed Nov 12 01:53:34 UTC 2025","passed","Wed Nov 12 01:53:34 UTC 2025","TestPOST","POST","",""
"","355","POST db_list","tests_api","Wed Nov 12 01:53:40 UTC 2025","passed","Wed Nov 12 01:53:40 UTC 2025","TestPOST","POST","",""
"","314","POST db_create_with_wrong_db_version.","tests_api","Wed Nov 12 01:53:54 UTC 2025","failed","Wed Nov 12 01:53:54 UTC 2025","TestPOST","smoke_databases","",""
"","306","GET tos.","tests_api","Wed Nov 12 01:55:12 UTC 2025","passed","Wed Nov 12 01:55:12 UTC 2025","TestGET","GET","",""
"","314","POST login","tests_api","Wed Nov 12 01:53:34 UTC 2025","passed","Wed Nov 12 01:53:34 UTC 2025","TestPOST","POST","",""
"","466","GET qstatus.","tests_api","Wed Nov 12 01:55:14 UTC 2025","passed","Wed Nov 12 01:55:14 UTC 2025","TestGET","GET","",""
"","318","test order db create backup","tests_api","Wed Nov 12 01:53:48 UTC 2025","failed","Wed Nov 12 01:53:49 UTC 2025","TestBackup","Test Backup","",""
"","903","test_ids_is_not_repeated_on_login_page","tests_ui","Wed Nov 12 01:55:37 UTC 2025","passed","Wed Nov 12 01:55:38 UTC 2025","TestLoginPage","Test Login Page.","",""
"","403","POST check profile","tests_api","Wed Nov 12 01:53:31 UTC 2025","passed","Wed Nov 12 01:53:31 UTC 2025","TestPOST","POST","",""
"","288","GET bad_request.","tests_api","Wed Nov 12 01:55:13 UTC 2025","passed","Wed Nov 12 01:55:14 UTC 2025","TestGET","GET","",""
"","319","GET list list_dbenvs.","tests_api","Wed Nov 12 01:55:13 UTC 2025","passed","Wed Nov 12 01:55:13 UTC 2025","TestGET","GET","",""
"","976","Checking the ""Static Sites"" table header","tests_ui","Wed Nov 12 01:55:44 UTC 2025","passed","Wed Nov 12 01:55:45 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","2325","Checking the JDBC connection string signature","tests_ui","Wed Nov 12 01:56:03 UTC 2025","passed","Wed Nov 12 01:56:05 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","308","POST registration email is taken for en-us","tests_api","Wed Nov 12 01:53:33 UTC 2025","passed","Wed Nov 12 01:53:33 UTC 2025","TestPOST","POST","",""
"","629","POST db_create","tests_api","Wed Nov 12 01:53:38 UTC 2025","failed","Wed Nov 12 01:53:39 UTC 2025","TestPOST","POST","",""
"","0","Get token.","tests_api","Wed Nov 12 01:53:28 UTC 2025","passed","Wed Nov 12 01:53:28 UTC 2025","TestGET","GET","",""
"","910","POST logout with wrong logout token","tests_api","Wed Nov 12 01:53:37 UTC 2025","passed","Wed Nov 12 01:53:38 UTC 2025","TestPOST","POST","",""
"","304","test order db create backup without uuid","tests_api","Wed Nov 12 01:53:50 UTC 2025","passed","Wed Nov 12 01:53:51 UTC 2025","TestBackup","Test Backup","",""
"","893","Checking the uniqueness of ID elements on the profile page","tests_ui","Wed Nov 12 01:55:40 UTC 2025","passed","Wed Nov 12 01:55:41 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","300","POST db_create_with_wrong_region.","tests_api","Wed Nov 12 01:53:55 UTC 2025","failed","Wed Nov 12 01:53:55 UTC 2025","TestPOST","smoke_databases","",""
"","1345","POST create_docker_container","tests_api","Wed Nov 12 01:53:42 UTC 2025","failed","Wed Nov 12 01:53:44 UTC 2025","TestPOST","POST","",""
"","308","GET list db_versions.","tests_api","Wed Nov 12 01:55:12 UTC 2025","passed","Wed Nov 12 01:55:13 UTC 2025","TestGET","GET","",""
"","312","POST db_create_with_wrong_db_type.","tests_api","Wed Nov 12 01:53:39 UTC 2025","failed","Wed Nov 12 01:53:39 UTC 2025","TestPOST","POST","",""
"","5982","test_clipboard_uuid_docker","tests_ui","Wed Nov 12 01:56:06 UTC 2025","broken","Wed Nov 12 01:56:12 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","2179","test_links","tests_ui","Wed Nov 12 01:55:33 UTC 2025","passed","Wed Nov 12 01:55:35 UTC 2025","TestMainPage","Test Main Page.","",""
"","940","test_login","tests_ui","Wed Nov 12 01:55:39 UTC 2025","passed","Wed Nov 12 01:55:40 UTC 2025","TestLoginPage","Test Login Page.","",""
"","447","POST registration for English language.","tests_api","Wed Nov 12 01:53:31 UTC 2025","passed","Wed Nov 12 01:53:32 UTC 2025","TestPOST","POST","",""
"","0","POST get token and other params.","tests_api","Wed Nov 12 01:53:52 UTC 2025","passed","Wed Nov 12 01:53:52 UTC 2025","TestStaticWebPages","Test Static webpages","",""
"","300","GET probe.","tests_api","Wed Nov 12 01:55:14 UTC 2025","passed","Wed Nov 12 01:55:14 UTC 2025","TestGET","GET","",""
"","1529","test_ids_is_not_repeated_on_main_page","tests_ui","Wed Nov 12 01:55:31 UTC 2025","passed","Wed Nov 12 01:55:33 UTC 2025","TestMainPage","Test Main Page.","",""
"","300","GET list list_regions.","tests_api","Wed Nov 12 01:55:13 UTC 2025","passed","Wed Nov 12 01:55:13 UTC 2025","TestGET","GET","",""
"","740","POST checking ports_len positive","tests_api","Wed Nov 12 01:53:44 UTC 2025","failed","Wed Nov 12 01:53:44 UTC 2025","TestPOST","POST","",""
