"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","313","POST registration Bulgaria language not agree.","tests_api","Fri Dec 26 02:00:54 UTC 2025","passed","Fri Dec 26 02:00:54 UTC 2025","TestPOST","POST","",""
"","845","Checking the uniqueness of ID elements on the profile page","tests_ui","Fri Dec 26 02:02:52 UTC 2025","passed","Fri Dec 26 02:02:52 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","564","test_ids_is_not_repeated_on_login_page","tests_ui","Fri Dec 26 02:02:49 UTC 2025","passed","Fri Dec 26 02:02:49 UTC 2025","TestLoginPage","Test Login Page.","",""
"","0","POST get token and other params.","tests_api","Fri Dec 26 02:01:15 UTC 2025","passed","Fri Dec 26 02:01:15 UTC 2025","TestPOST","smoke_databases","",""
"","528","test_buttons_are_clickable","tests_ui","Fri Dec 26 02:02:50 UTC 2025","passed","Fri Dec 26 02:02:50 UTC 2025","TestLoginPage","Test Login Page.","",""
"","8058","Creating a mysql8 database with DB hosts region CIS","tests_ui","Fri Dec 26 02:02:57 UTC 2025","broken","Fri Dec 26 02:03:05 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","1048","Complex","tests_api","Fri Dec 26 02:00:48 UTC 2025","failed","Fri Dec 26 02:00:49 UTC 2025","TestFull","Test Connection DB","",""
"","312","test order db create backup with wrong token","tests_api","Fri Dec 26 02:01:11 UTC 2025","passed","Fri Dec 26 02:01:11 UTC 2025","TestBackup","Test Backup","",""
"","1215","POST create_docker_container","tests_api","Fri Dec 26 02:01:04 UTC 2025","failed","Fri Dec 26 02:01:06 UTC 2025","TestPOST","POST","",""
"","520","POST checking ports_len negative len","tests_api","Fri Dec 26 02:01:07 UTC 2025","passed","Fri Dec 26 02:01:07 UTC 2025","TestPOST","POST","",""
"","431","GET qstatus.","tests_api","Fri Dec 26 02:02:36 UTC 2025","passed","Fri Dec 26 02:02:36 UTC 2025","TestGET","GET","",""
"","720","test_main_button","tests_ui","Fri Dec 26 02:02:48 UTC 2025","passed","Fri Dec 26 02:02:48 UTC 2025","TestMainPage","Test Main Page.","",""
"","307","test order db create backup with wrong uuid","tests_api","Fri Dec 26 02:01:12 UTC 2025","failed","Fri Dec 26 02:01:12 UTC 2025","TestBackup","Test Backup","",""
"","924","Capacity_db","tests_api","Fri Dec 26 02:00:49 UTC 2025","broken","Fri Dec 26 02:00:50 UTC 2025","TestFull","Test Connection DB","",""
"","308","POST registration email is taken for bg-bg","tests_api","Fri Dec 26 02:00:55 UTC 2025","passed","Fri Dec 26 02:00:55 UTC 2025","TestPOST","POST","",""
"","2132","test_links","tests_ui","Fri Dec 26 02:02:45 UTC 2025","passed","Fri Dec 26 02:02:47 UTC 2025","TestMainPage","Test Main Page.","",""
"","308","POST change_password_with_wrong_data","tests_api","Fri Dec 26 02:01:04 UTC 2025","passed","Fri Dec 26 02:01:04 UTC 2025","TestPOST","POST","",""
"","1144","POST logout with wrong logout token","tests_api","Fri Dec 26 02:00:59 UTC 2025","passed","Fri Dec 26 02:01:00 UTC 2025","TestPOST","POST","",""
"","321","POST login","tests_api","Fri Dec 26 02:00:55 UTC 2025","passed","Fri Dec 26 02:00:56 UTC 2025","TestPOST","POST","",""
"","318","GET list list_dbenvs.","tests_api","Fri Dec 26 02:02:35 UTC 2025","passed","Fri Dec 26 02:02:35 UTC 2025","TestGET","GET","",""
"","309","POST db_create_with_wrong_db_type.","tests_api","Fri Dec 26 02:01:01 UTC 2025","failed","Fri Dec 26 02:01:01 UTC 2025","TestPOST","POST","",""
"","616","POST change_password","tests_api","Fri Dec 26 02:01:03 UTC 2025","passed","Fri Dec 26 02:01:04 UTC 2025","TestPOST","POST","",""
"","1","POST get token and other params.","tests_api","Fri Dec 26 02:00:53 UTC 2025","passed","Fri Dec 26 02:00:53 UTC 2025","TestPOST","POST","",""
"","302","POST change_password_without_token","tests_api","Fri Dec 26 02:01:04 UTC 2025","passed","Fri Dec 26 02:01:04 UTC 2025","TestPOST","POST","",""
"","300","GET probe.","tests_api","Fri Dec 26 02:02:36 UTC 2025","passed","Fri Dec 26 02:02:36 UTC 2025","TestGET","GET","",""
"","328","POST checking ports_len negative range","tests_api","Fri Dec 26 02:01:06 UTC 2025","passed","Fri Dec 26 02:01:07 UTC 2025","TestPOST","POST","",""
"","5915","Checking the JDBC connection string signature","tests_ui","Fri Dec 26 02:03:14 UTC 2025","broken","Fri Dec 26 02:03:20 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","313","POST registration for English language.","tests_api","Fri Dec 26 02:00:53 UTC 2025","passed","Fri Dec 26 02:00:53 UTC 2025","TestPOST","POST","",""
"","277","POST check static webpages without toke.","tests_api","Fri Dec 26 02:01:14 UTC 2025","failed","Fri Dec 26 02:01:14 UTC 2025","TestStaticWebPages","Test Static webpages","",""
