"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","494","POST registration email is taken for bg-bg","tests_api","Wed Dec 03 01:57:04 UTC 2025","passed","Wed Dec 03 01:57:04 UTC 2025","TestPOST","POST","",""
"","1158","test_main_button","tests_ui","Wed Dec 03 01:59:16 UTC 2025","passed","Wed Dec 03 01:59:17 UTC 2025","TestMainPage","Test Main Page.","",""
"","671","POST delete_db","tests_api","Wed Dec 03 01:57:25 UTC 2025","skipped","Wed Dec 03 01:57:26 UTC 2025","TestPOST","POST","",""
"","1532","Checking the ""Static Sites"" table header","tests_ui","Wed Dec 03 01:59:26 UTC 2025","passed","Wed Dec 03 01:59:28 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","500","POST db_create_with_wrong_env.","tests_api","Wed Dec 03 01:57:37 UTC 2025","passed","Wed Dec 03 01:57:37 UTC 2025","TestPOST","smoke_databases","",""
"","511","POST db_create_with_wrong_db_version.","tests_api","Wed Dec 03 01:57:13 UTC 2025","passed","Wed Dec 03 01:57:14 UTC 2025","TestPOST","POST","",""
"","503","POST db_create_with_wrong_db_type.","tests_api","Wed Dec 03 01:57:13 UTC 2025","passed","Wed Dec 03 01:57:13 UTC 2025","TestPOST","POST","",""
"","689","POST create_docker_container_without_token","tests_api","Wed Dec 03 01:57:23 UTC 2025","passed","Wed Dec 03 01:57:24 UTC 2025","TestPOST","POST","",""
"","485","POST check static webpages without toke.","tests_api","Wed Dec 03 01:57:33 UTC 2025","failed","Wed Dec 03 01:57:34 UTC 2025","TestStaticWebPages","Test Static webpages","",""
"","16189","POST db_list_with_filter","tests_api","Wed Dec 03 01:57:38 UTC 2025","passed","Wed Dec 03 01:57:55 UTC 2025","TestPOST","smoke_databases","",""
"","514","POST registration for English language.","tests_api","Wed Dec 03 01:57:01 UTC 2025","passed","Wed Dec 03 01:57:02 UTC 2025","TestPOST","POST","",""
"","61226","POST delete_db","tests_api","Wed Dec 03 01:57:55 UTC 2025","passed","Wed Dec 03 01:58:56 UTC 2025","TestPOST","smoke_databases","",""
"","500","POST is logged","tests_api","Wed Dec 03 01:57:05 UTC 2025","passed","Wed Dec 03 01:57:06 UTC 2025","TestPOST","POST","",""
"","1527","POST logout with wrong logout token","tests_api","Wed Dec 03 01:57:10 UTC 2025","passed","Wed Dec 03 01:57:11 UTC 2025","TestPOST","POST","",""
"","669","GET list list_regions.","tests_api","Wed Dec 03 01:56:59 UTC 2025","passed","Wed Dec 03 01:57:00 UTC 2025","TestGET","GET","",""
"","1425","Checking the opening of the statistics page","tests_ui","Wed Dec 03 01:59:24 UTC 2025","passed","Wed Dec 03 01:59:25 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","8979","Creating a mysql8 database with DB hosts region CIS","tests_ui","Wed Dec 03 01:59:29 UTC 2025","broken","Wed Dec 03 01:59:38 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","484","GET bad_request.","tests_api","Wed Dec 03 01:58:59 UTC 2025","passed","Wed Dec 03 01:58:59 UTC 2025","TestGET","GET","",""
"","1576","Complex","tests_api","Wed Dec 03 01:56:13 UTC 2025","broken","Wed Dec 03 01:56:14 UTC 2025","TestFull","Test Connection DB","",""
"","506","GET list list_dbtypes.","tests_api","Wed Dec 03 01:56:57 UTC 2025","passed","Wed Dec 03 01:56:58 UTC 2025","TestGET","GET","",""
"","504","test order db create backup with wrong token","tests_api","Wed Dec 03 01:57:29 UTC 2025","passed","Wed Dec 03 01:57:29 UTC 2025","TestBackup","Test Backup","",""
"","522","POST registration email is taken for en-us","tests_api","Wed Dec 03 01:57:03 UTC 2025","passed","Wed Dec 03 01:57:04 UTC 2025","TestPOST","POST","",""
"","1011","POST change_password","tests_api","Wed Dec 03 01:57:17 UTC 2025","passed","Wed Dec 03 01:57:18 UTC 2025","TestPOST","POST","",""
"","0","Get token.","tests_api","Wed Dec 03 01:56:13 UTC 2025","passed","Wed Dec 03 01:56:13 UTC 2025","TestFull","Test Connection DB","",""
"","504","POST db_create_with_wrong_db_version.","tests_api","Wed Dec 03 01:57:36 UTC 2025","passed","Wed Dec 03 01:57:37 UTC 2025","TestPOST","smoke_databases","",""
"","41717","Capacity_db","tests_api","Wed Dec 03 01:56:14 UTC 2025","broken","Wed Dec 03 01:56:56 UTC 2025","TestFull","Test Connection DB","",""
