"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","426","POST is logged","tests_api","Sat Nov 08 01:46:38 UTC 2025","passed","Sat Nov 08 01:46:38 UTC 2025","TestPOST","POST","",""
"","634","test_buttons_are_clickable","tests_ui","Sat Nov 08 01:48:43 UTC 2025","passed","Sat Nov 08 01:48:44 UTC 2025","TestLoginPage","Test Login Page.","",""
"","1267","POST login/is_logged/logout","tests_api","Sat Nov 08 01:46:40 UTC 2025","passed","Sat Nov 08 01:46:41 UTC 2025","TestPOST","POST","",""
"","776","POST create_docker_container_without_token","tests_api","Sat Nov 08 01:46:53 UTC 2025","passed","Sat Nov 08 01:46:54 UTC 2025","TestPOST","POST","",""
"","513","POST delete_all_created_db","tests_api","Sat Nov 08 01:46:56 UTC 2025","skipped","Sat Nov 08 01:46:56 UTC 2025","TestPOST","POST","",""
"","438","GET tos.","tests_api","Sat Nov 08 01:46:31 UTC 2025","passed","Sat Nov 08 01:46:31 UTC 2025","TestGET","GET","",""
"","430","POST registration for English language not agree.","tests_api","Sat Nov 08 01:46:35 UTC 2025","passed","Sat Nov 08 01:46:35 UTC 2025","TestPOST","POST","",""
"","421","POST db_create_with_wrong_db_version.","tests_api","Sat Nov 08 01:47:04 UTC 2025","failed","Sat Nov 08 01:47:05 UTC 2025","TestPOST","smoke_databases","",""
"","8782","Creating a mysql8 database with DB hosts region CIS","tests_ui","Sat Nov 08 01:48:52 UTC 2025","broken","Sat Nov 08 01:49:01 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","799","test_login","tests_ui","Sat Nov 08 01:48:44 UTC 2025","passed","Sat Nov 08 01:48:45 UTC 2025","TestLoginPage","Test Login Page.","",""
"","1404","Checking the ""Static Sites"" table header","tests_ui","Sat Nov 08 01:48:50 UTC 2025","passed","Sat Nov 08 01:48:51 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","533","POST db_list_with_filter","tests_api","Sat Nov 08 01:46:47 UTC 2025","skipped","Sat Nov 08 01:46:47 UTC 2025","TestPOST","POST","",""
"","697","test_ids_is_not_repeated_on_login_page","tests_ui","Sat Nov 08 01:48:42 UTC 2025","passed","Sat Nov 08 01:48:43 UTC 2025","TestLoginPage","Test Login Page.","",""
"","1","Get token.","tests_api","Sat Nov 08 01:48:23 UTC 2025","passed","Sat Nov 08 01:48:23 UTC 2025","TestGET","GET","",""
"","864","POST change_password","tests_api","Sat Nov 08 01:46:47 UTC 2025","passed","Sat Nov 08 01:46:48 UTC 2025","TestPOST","POST","",""
"","1","POST get token and other params.","tests_api","Sat Nov 08 01:46:34 UTC 2025","passed","Sat Nov 08 01:46:34 UTC 2025","TestPOST","POST","",""
"","960","test_main_button","tests_ui","Sat Nov 08 01:48:41 UTC 2025","passed","Sat Nov 08 01:48:42 UTC 2025","TestMainPage","Test Main Page.","",""
"","1153","Checking the uniqueness of ID elements on the profile page","tests_ui","Sat Nov 08 01:48:46 UTC 2025","passed","Sat Nov 08 01:48:47 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","424","GET list list_dbenvs.","tests_api","Sat Nov 08 01:46:32 UTC 2025","passed","Sat Nov 08 01:46:32 UTC 2025","TestGET","GET","",""
"","416","POST checking ports_len negative len","tests_api","Sat Nov 08 01:46:52 UTC 2025","passed","Sat Nov 08 01:46:52 UTC 2025","TestPOST","POST","",""
"","424","GET list list_dbtypes.","tests_api","Sat Nov 08 01:48:24 UTC 2025","passed","Sat Nov 08 01:48:24 UTC 2025","TestGET","GET","",""
"","856","POST db_create","tests_api","Sat Nov 08 01:47:03 UTC 2025","failed","Sat Nov 08 01:47:04 UTC 2025","TestPOST","smoke_databases","",""
"","447","GET list list_dbtypes.","tests_api","Sat Nov 08 01:46:31 UTC 2025","passed","Sat Nov 08 01:46:31 UTC 2025","TestGET","GET","",""
"","425","POST db_create_with_wrong_region.","tests_api","Sat Nov 08 01:46:45 UTC 2025","failed","Sat Nov 08 01:46:46 UTC 2025","TestPOST","POST","",""
"","447","POST registration email is taken for unsupported languages","tests_api","Sat Nov 08 01:46:37 UTC 2025","passed","Sat Nov 08 01:46:37 UTC 2025","TestPOST","POST","",""
"","419","POST is_logged_with_wrong_token","tests_api","Sat Nov 08 01:46:38 UTC 2025","passed","Sat Nov 08 01:46:38 UTC 2025","TestPOST","POST","",""
"","439","POST registration for English language.","tests_api","Sat Nov 08 01:46:34 UTC 2025","passed","Sat Nov 08 01:46:35 UTC 2025","TestPOST","POST","",""
"","421","test order db create backup with wrong token","tests_api","Sat Nov 08 01:46:58 UTC 2025","passed","Sat Nov 08 01:46:58 UTC 2025","TestBackup","Test Backup","",""
"","434","POST login","tests_api","Sat Nov 08 01:46:37 UTC 2025","passed","Sat Nov 08 01:46:38 UTC 2025","TestPOST","POST","",""
"","0","Get token.","tests_api","Sat Nov 08 01:46:31 UTC 2025","passed","Sat Nov 08 01:46:31 UTC 2025","TestGET","GET","",""
"","1682","POST create_docker_container","tests_api","Sat Nov 08 01:46:49 UTC 2025","failed","Sat Nov 08 01:46:51 UTC 2025","TestPOST","POST","",""
"","1274","POST logout with wrong logout token","tests_api","Sat Nov 08 01:46:41 UTC 2025","passed","Sat Nov 08 01:46:43 UTC 2025","TestPOST","POST","",""
"","845","POST db_create","tests_api","Sat Nov 08 01:46:43 UTC 2025","failed","Sat Nov 08 01:46:44 UTC 2025","TestPOST","POST","",""
"","416","GET list list_dbenvs.","tests_api","Sat Nov 08 01:48:25 UTC 2025","passed","Sat Nov 08 01:48:25 UTC 2025","TestGET","GET","",""
"","450","POST checking ports_len negative range","tests_api","Sat Nov 08 01:46:52 UTC 2025","passed","Sat Nov 08 01:46:52 UTC 2025","TestPOST","POST","",""
"","0","Getting an authorization token","tests_ui","Sat Nov 08 01:48:46 UTC 2025","passed","Sat Nov 08 01:48:46 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","415","test order db create backup non-belonging db","tests_api","Sat Nov 08 01:47:01 UTC 2025","failed","Sat Nov 08 01:47:01 UTC 2025","TestBackup","Test Backup","",""
