"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","521","POST db_create_with_wrong_region.","tests_api","Tue Dec 16 02:01:46 UTC 2025","failed","Tue Dec 16 02:01:47 UTC 2025","TestPOST","smoke_databases","",""
"","510","POST create_docker_container_without_token","tests_api","Tue Dec 16 02:01:32 UTC 2025","passed","Tue Dec 16 02:01:32 UTC 2025","TestPOST","POST","",""
"","510","POST registration Bulgaria language.","tests_api","Tue Dec 16 02:01:11 UTC 2025","passed","Tue Dec 16 02:01:11 UTC 2025","TestPOST","POST","",""
"","1366","Complex","tests_api","Tue Dec 16 02:01:02 UTC 2025","failed","Tue Dec 16 02:01:03 UTC 2025","TestFull","Test Connection DB","",""
"","501","GET list db_versions.","tests_api","Tue Dec 16 02:03:06 UTC 2025","passed","Tue Dec 16 02:03:07 UTC 2025","TestGET","GET","",""
"","3552","test_links","tests_ui","Tue Dec 16 02:03:17 UTC 2025","passed","Tue Dec 16 02:03:21 UTC 2025","TestMainPage","Test Main Page.","",""
"","0","POST get token and other params.","tests_api","Tue Dec 16 02:01:09 UTC 2025","passed","Tue Dec 16 02:01:09 UTC 2025","TestPOST","POST","",""
"","510","test order db create backup with wrong token","tests_api","Tue Dec 16 02:01:37 UTC 2025","passed","Tue Dec 16 02:01:38 UTC 2025","TestBackup","Test Backup","",""
"","497","POST db_create_with_wrong_region.","tests_api","Tue Dec 16 02:01:23 UTC 2025","failed","Tue Dec 16 02:01:24 UTC 2025","TestPOST","POST","",""
"","482","POST check static webpages without toke.","tests_api","Tue Dec 16 02:01:42 UTC 2025","failed","Tue Dec 16 02:01:42 UTC 2025","TestStaticWebPages","Test Static webpages","",""
"","502","POST registration email is taken for en-us","tests_api","Tue Dec 16 02:01:12 UTC 2025","passed","Tue Dec 16 02:01:12 UTC 2025","TestPOST","POST","",""
"","651","POST delete_db","tests_api","Tue Dec 16 02:01:34 UTC 2025","skipped","Tue Dec 16 02:01:35 UTC 2025","TestPOST","POST","",""
"","495","GET tos.","tests_api","Tue Dec 16 02:03:05 UTC 2025","passed","Tue Dec 16 02:03:06 UTC 2025","TestGET","GET","",""
"","741","test_ids_is_not_repeated_on_login_page","tests_ui","Tue Dec 16 02:03:23 UTC 2025","passed","Tue Dec 16 02:03:23 UTC 2025","TestLoginPage","Test Login Page.","",""
"","1809","POST create_docker_container","tests_api","Tue Dec 16 02:01:27 UTC 2025","failed","Tue Dec 16 02:01:29 UTC 2025","TestPOST","POST","",""
"","1520","Checking the ""Static Sites"" table header","tests_ui","Tue Dec 16 02:03:31 UTC 2025","passed","Tue Dec 16 02:03:33 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","1020","POST db_create","tests_api","Tue Dec 16 02:01:21 UTC 2025","failed","Tue Dec 16 02:01:22 UTC 2025","TestPOST","POST","",""
"","518","POST checking ports_len negative len","tests_api","Tue Dec 16 02:01:31 UTC 2025","passed","Tue Dec 16 02:01:31 UTC 2025","TestPOST","POST","",""
"","513","POST db_create_with_wrong_db_version.","tests_api","Tue Dec 16 02:01:45 UTC 2025","failed","Tue Dec 16 02:01:45 UTC 2025","TestPOST","smoke_databases","",""
"","506","GET list db_versions.","tests_api","Tue Dec 16 02:01:07 UTC 2025","passed","Tue Dec 16 02:01:07 UTC 2025","TestGET","GET","",""
"","524","POST is logged","tests_api","Tue Dec 16 02:01:14 UTC 2025","passed","Tue Dec 16 02:01:14 UTC 2025","TestPOST","POST","",""
"","0","Getting an authorization token","tests_ui","Tue Dec 16 02:03:26 UTC 2025","passed","Tue Dec 16 02:03:26 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","496","POST create_docker_container","tests_api","Tue Dec 16 02:01:24 UTC 2025","passed","Tue Dec 16 02:01:25 UTC 2025","TestPOST","POST","",""
"","491","test order db create backup with wrong uuid","tests_api","Tue Dec 16 02:01:38 UTC 2025","failed","Tue Dec 16 02:01:39 UTC 2025","TestBackup","Test Backup","",""
"","693","POST db_list","tests_api","Tue Dec 16 02:01:47 UTC 2025","passed","Tue Dec 16 02:01:47 UTC 2025","TestPOST","smoke_databases","",""
"","490","GET list list_dbtypes.","tests_api","Tue Dec 16 02:01:06 UTC 2025","passed","Tue Dec 16 02:01:07 UTC 2025","TestGET","GET","",""
"","696","POST login","tests_api","Tue Dec 16 02:01:13 UTC 2025","passed","Tue Dec 16 02:01:14 UTC 2025","TestPOST","POST","",""
"","648","POST db_list","tests_api","Tue Dec 16 02:01:24 UTC 2025","passed","Tue Dec 16 02:01:24 UTC 2025","TestPOST","POST","",""
"","492","GET list list_regions.","tests_api","Tue Dec 16 02:03:07 UTC 2025","passed","Tue Dec 16 02:03:08 UTC 2025","TestGET","GET","",""
