"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","758","test_ids_is_not_repeated_on_login_page","tests_ui","Mon Nov 10 02:00:07 UTC 2025","passed","Mon Nov 10 02:00:08 UTC 2025","TestLoginPage","Test Login Page.","",""
"","516","GET list list_dbenvs.","tests_api","Mon Nov 10 01:57:49 UTC 2025","passed","Mon Nov 10 01:57:49 UTC 2025","TestGET","GET","",""
"","0","Get token.","tests_api","Mon Nov 10 01:59:47 UTC 2025","passed","Mon Nov 10 01:59:47 UTC 2025","TestGET","GET","",""
"","8886","Creating a mysql8 database with DB hosts region CIS","tests_ui","Mon Nov 10 02:00:18 UTC 2025","broken","Mon Nov 10 02:00:27 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","508","POST db_create_with_wrong_env.","tests_api","Mon Nov 10 01:58:28 UTC 2025","failed","Mon Nov 10 01:58:28 UTC 2025","TestPOST","smoke_databases","",""
"","1001","POST db_create","tests_api","Mon Nov 10 01:58:03 UTC 2025","failed","Mon Nov 10 01:58:04 UTC 2025","TestPOST","POST","",""
"","1027","POST db_create","tests_api","Mon Nov 10 01:58:26 UTC 2025","failed","Mon Nov 10 01:58:27 UTC 2025","TestPOST","smoke_databases","",""
"","660","POST check profile","tests_api","Mon Nov 10 01:57:51 UTC 2025","passed","Mon Nov 10 01:57:52 UTC 2025","TestPOST","POST","",""
"","512","test order db create backup","tests_api","Mon Nov 10 01:58:19 UTC 2025","failed","Mon Nov 10 01:58:19 UTC 2025","TestBackup","Test Backup","",""
"","1485","Checking the ""Static Sites"" table header","tests_ui","Mon Nov 10 02:00:16 UTC 2025","passed","Mon Nov 10 02:00:17 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","502","POST db_create_with_wrong_env.","tests_api","Mon Nov 10 01:58:05 UTC 2025","failed","Mon Nov 10 01:58:05 UTC 2025","TestPOST","POST","",""
"","502","GET list list_regions.","tests_api","Mon Nov 10 01:57:49 UTC 2025","passed","Mon Nov 10 01:57:50 UTC 2025","TestGET","GET","",""
"","1503","POST login/is_logged/logout","tests_api","Mon Nov 10 01:57:59 UTC 2025","passed","Mon Nov 10 01:58:00 UTC 2025","TestPOST","POST","",""
"","1","Get token.","tests_api","Mon Nov 10 01:57:47 UTC 2025","passed","Mon Nov 10 01:57:47 UTC 2025","TestGET","GET","",""
