"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","305","GET probe.","tests_api","Sun Feb 01 02:52:28 UTC 2026","passed","Sun Feb 01 02:52:28 UTC 2026","TestGET","GET","",""
"","311","POST create_docker_container_without_token","tests_api","Sun Feb 01 02:50:59 UTC 2026","passed","Sun Feb 01 02:50:59 UTC 2026","TestPOST","POST","",""
"","15719","POST db_list_with_filter","tests_api","Sun Feb 01 02:51:09 UTC 2026","passed","Sun Feb 01 02:51:25 UTC 2026","TestPOST","smoke_databases","",""
"","514","test_buttons_are_clickable","tests_ui","Sun Feb 01 02:53:30 UTC 2026","passed","Sun Feb 01 02:53:31 UTC 2026","TestLoginPage","Test Login Page.","",""
"","313","POST db_create_with_wrong_db_type.","tests_api","Sun Feb 01 02:51:07 UTC 2026","failed","Sun Feb 01 02:51:08 UTC 2026","TestPOST","smoke_databases","",""
"","310","POST delete_container","tests_api","Sun Feb 01 02:51:00 UTC 2026","broken","Sun Feb 01 02:51:00 UTC 2026","TestPOST","POST","",""
"","310","POST create_docker_container","tests_api","Sun Feb 01 02:50:54 UTC 2026","passed","Sun Feb 01 02:50:55 UTC 2026","TestPOST","POST","",""
"","324","POST registration Bulgaria language not agree.","tests_api","Sun Feb 01 02:50:46 UTC 2026","passed","Sun Feb 01 02:50:46 UTC 2026","TestPOST","POST","",""
"","293","GET bad_request.","tests_api","Sun Feb 01 02:52:27 UTC 2026","passed","Sun Feb 01 02:52:28 UTC 2026","TestGET","GET","",""
"","1131","test_ids_is_not_repeated_on_login_page","tests_ui","Sun Feb 01 02:53:29 UTC 2026","passed","Sun Feb 01 02:53:30 UTC 2026","TestLoginPage","Test Login Page.","",""
"","924","Checking the opening of the statistics page","tests_ui","Sun Feb 01 02:53:35 UTC 2026","passed","Sun Feb 01 02:53:36 UTC 2026","TestProfilePage","Test Profile Page.","",""
"","585","POST checking ports_len positive","tests_api","Sun Feb 01 02:50:58 UTC 2026","failed","Sun Feb 01 02:50:58 UTC 2026","TestPOST","POST","",""
"","0","Get token.","tests_api","Sun Feb 01 02:52:26 UTC 2026","passed","Sun Feb 01 02:52:26 UTC 2026","TestGET","GET","",""
"","0","Get token.","tests_api","Sun Feb 01 02:50:42 UTC 2026","passed","Sun Feb 01 02:50:42 UTC 2026","TestGET","GET","",""
"","349","POST registration Bulgaria language.","tests_api","Sun Feb 01 02:50:46 UTC 2026","passed","Sun Feb 01 02:50:46 UTC 2026","TestPOST","POST","",""
"","309","GET list list_regions.","tests_api","Sun Feb 01 02:50:44 UTC 2026","passed","Sun Feb 01 02:50:44 UTC 2026","TestGET","GET","",""
"","5914","Checking the copy of the database UUID","tests_ui","Sun Feb 01 02:53:53 UTC 2026","broken","Sun Feb 01 02:53:59 UTC 2026","TestProfilePage","Test Profile Page.","",""
"","6030","Checking the JDBC connection string signature","tests_ui","Sun Feb 01 02:54:00 UTC 2026","broken","Sun Feb 01 02:54:06 UTC 2026","TestProfilePage","Test Profile Page.","",""
