"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Getting an authorization token","tests_ui","Sun Nov 30 02:08:57 UTC 2025","passed","Sun Nov 30 02:08:57 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","480","GET list list_dbenvs.","tests_api","Sun Nov 30 02:08:27 UTC 2025","passed","Sun Nov 30 02:08:28 UTC 2025","TestGET","GET","",""
"","1447","Checking the ""Static Sites"" table header","tests_ui","Sun Nov 30 02:09:02 UTC 2025","passed","Sun Nov 30 02:09:03 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","0","POST get token and other params.","tests_api","Sun Nov 30 02:07:03 UTC 2025","passed","Sun Nov 30 02:07:03 UTC 2025","TestStaticWebPages","Test Static webpages","",""
"","0","Get token.","tests_api","Sun Nov 30 02:08:26 UTC 2025","passed","Sun Nov 30 02:08:26 UTC 2025","TestGET","GET","",""
"","479","test order db create backup non-belonging db","tests_api","Sun Nov 30 02:07:02 UTC 2025","failed","Sun Nov 30 02:07:03 UTC 2025","TestBackup","Test Backup","",""
"","1","Get token.","tests_api","Sun Nov 30 02:05:45 UTC 2025","passed","Sun Nov 30 02:05:45 UTC 2025","TestFull","Test Connection DB","",""
"","467","POST registration email is taken for en-us","tests_api","Sun Nov 30 02:06:35 UTC 2025","passed","Sun Nov 30 02:06:35 UTC 2025","TestPOST","POST","",""
"","1340","Complex","tests_api","Sun Nov 30 02:05:45 UTC 2025","broken","Sun Nov 30 02:05:46 UTC 2025","TestFull","Test Connection DB","",""
"","3431","test_links","tests_ui","Sun Nov 30 02:08:48 UTC 2025","passed","Sun Nov 30 02:08:52 UTC 2025","TestMainPage","Test Main Page.","",""
"","483","GET list list_regions.","tests_api","Sun Nov 30 02:06:31 UTC 2025","passed","Sun Nov 30 02:06:31 UTC 2025","TestGET","GET","",""
"","598","GET qstatus.","tests_api","Sun Nov 30 02:08:29 UTC 2025","passed","Sun Nov 30 02:08:30 UTC 2025","TestGET","GET","",""
"","1529","test_ids_is_not_repeated_on_main_page","tests_ui","Sun Nov 30 02:08:46 UTC 2025","passed","Sun Nov 30 02:08:48 UTC 2025","TestMainPage","Test Main Page.","",""
"","0","POST get token and other params.","tests_api","Sun Nov 30 02:07:04 UTC 2025","passed","Sun Nov 30 02:07:04 UTC 2025","TestPOST","smoke_databases","",""
"","487","POST is_logged_with_wrong_token","tests_api","Sun Nov 30 02:06:37 UTC 2025","passed","Sun Nov 30 02:06:38 UTC 2025","TestPOST","POST","",""
"","476","GET tos.","tests_api","Sun Nov 30 02:06:29 UTC 2025","passed","Sun Nov 30 02:06:29 UTC 2025","TestGET","GET","",""
"","466","GET list list_dbtypes.","tests_api","Sun Nov 30 02:06:29 UTC 2025","passed","Sun Nov 30 02:06:30 UTC 2025","TestGET","GET","",""
"","1799","Deleting a DB with results check in the Account Dashboard table","tests_ui","Sun Nov 30 02:09:15 UTC 2025","broken","Sun Nov 30 02:09:16 UTC 2025","TestProfilePage","Test Profile Page.","",""
"","938","POST change_password","tests_api","Sun Nov 30 02:06:47 UTC 2025","passed","Sun Nov 30 02:06:48 UTC 2025","TestPOST","POST","",""
"","993","POST db_create","tests_api","Sun Nov 30 02:06:43 UTC 2025","passed","Sun Nov 30 02:06:44 UTC 2025","TestPOST","POST","",""
"","485","GET list db_versions.","tests_api","Sun Nov 30 02:08:27 UTC 2025","passed","Sun Nov 30 02:08:27 UTC 2025","TestGET","GET","",""
"","0","POST get token and other params.","tests_api","Sun Nov 30 02:06:32 UTC 2025","passed","Sun Nov 30 02:06:32 UTC 2025","TestPOST","POST","",""
"","475","POST change_password_with_wrong_data","tests_api","Sun Nov 30 02:06:48 UTC 2025","passed","Sun Nov 30 02:06:49 UTC 2025","TestPOST","POST","",""
"","471","POST create_docker_container_without_token","tests_api","Sun Nov 30 02:06:53 UTC 2025","passed","Sun Nov 30 02:06:54 UTC 2025","TestPOST","POST","",""
"","483","GET list db_versions.","tests_api","Sun Nov 30 02:06:30 UTC 2025","passed","Sun Nov 30 02:06:30 UTC 2025","TestGET","GET","",""
"","469","test order db create backup with wrong uuid","tests_api","Sun Nov 30 02:07:00 UTC 2025","failed","Sun Nov 30 02:07:00 UTC 2025","TestBackup","Test Backup","",""
